#class tools::histo::h1d
#title Edep in gap
#dimension 1
#axis fixed 100 0 5
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
7694,7694,7694,0.565808,0.01995
27,27,27,2.0738,0.16492
39,39,39,5.02518,0.656417
17,17,17,2.98192,0.526006
32,32,32,7.2227,1.6358
28,28,28,7.77492,2.16435
24,24,24,7.79148,2.53369
23,23,23,8.66182,3.26442
30,30,30,12.82,5.48501
36,36,36,17.145,8.17233
23,23,23,12.0037,6.26991
29,29,29,16.668,9.58666
32,32,32,19.9145,12.3986
32,32,32,21.5622,14.5359
25,25,25,18.1802,13.2254
26,26,26,20.25,15.7773
26,26,26,21.5311,17.8354
25,25,25,21.8389,19.0825
23,23,23,21.3573,19.8365
22,22,22,21.3688,20.7605
27,27,27,27.6991,28.423
29,29,29,31.0669,33.2881
22,22,22,24.7372,27.819
20,20,20,23.4052,27.3949
29,29,29,35.489,43.4362
31,31,31,39.6257,50.6577
36,36,36,47.7722,63.4007
29,29,29,39.8243,54.6943
35,35,35,49.8413,70.983
34,34,34,50.0935,73.8126
38,38,38,58.0359,88.6416
64,64,64,101.517,161.04
24,24,24,39.0443,63.5222
32,32,32,53.6602,89.9875
47,47,47,81.2447,140.449
43,43,43,76.3821,135.688
41,41,41,74.9207,136.915
47,47,47,87.9629,164.638
57,57,57,109.792,211.487
40,40,40,78.9256,155.742
46,46,46,93.1564,188.663
44,44,44,91.3267,189.568
104,104,104,220.044,465.586
64,64,64,139.205,302.796
82,82,82,182.238,405.022
80,80,80,182.068,414.376
105,105,105,244.057,567.299
101,101,101,239.619,568.508
63,63,63,152.588,369.588
29,29,29,71.6668,177.114
5,5,5,12.6486,31.9993
2,2,2,5.17267,13.3784
337,337,337,882.93,2313.25
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
